Validation_Set,Topics,Power_iters,Decay,Coherence
75% Corpus,4,8,0.0,0.6206136548114816
75% Corpus,4,8,0.1,0.3286682613793897
75% Corpus,4,8,0.2,0.3340087438552046
75% Corpus,4,8,0.3,0.3404431513452538
75% Corpus,4,8,0.4,0.3400727270482408
75% Corpus,4,8,0.5,0.2901318565865327
75% Corpus,4,8,0.6,0.36398608204029437
75% Corpus,4,8,0.7,0.3223206013071902
75% Corpus,4,8,0.8,0.32553082275418244
75% Corpus,4,8,0.9,0.3235749478144474
75% Corpus,4,8,1.0,0.25412107284811125
75% Corpus,4,10,0.0,0.618336292970411
75% Corpus,4,10,0.1,0.3286682613793897
75% Corpus,4,10,0.2,0.3340087438552046
75% Corpus,4,10,0.3,0.3404431513452538
75% Corpus,4,10,0.4,0.3400727270482408
75% Corpus,4,10,0.5,0.2901318565865327
75% Corpus,4,10,0.6,0.36398608204029437
75% Corpus,4,10,0.7,0.3223206013071902
75% Corpus,4,10,0.8,0.32553082275418244
75% Corpus,4,10,0.9,0.3235749478144474
75% Corpus,4,10,1.0,0.25412107284811125
75% Corpus,5,0,0.0,0.620508966611156
75% Corpus,5,0,0.1,0.33320094783260995
75% Corpus,5,0,0.2,0.3424716825812921
75% Corpus,5,0,0.3,0.3448819656459034
75% Corpus,5,0,0.4,0.3255472016047804
75% Corpus,5,0,0.5,0.3234843786848681
75% Corpus,5,0,0.6,0.3238571621125749
75% Corpus,5,0,0.7,0.3141355641745764
75% Corpus,5,0,0.8,0.433881391406899
75% Corpus,5,0,0.9,0.3160360763347875
75% Corpus,5,0,1.0,0.2634172481895499
75% Corpus,5,1,0.0,0.6236670476206075
75% Corpus,5,1,0.1,0.33320094783260995
75% Corpus,5,1,0.2,0.3424716825812921
75% Corpus,5,1,0.3,0.3448819656459034
75% Corpus,5,1,0.4,0.3255472016047804
75% Corpus,5,1,0.5,0.3234843786848681
75% Corpus,5,1,0.6,0.3238571621125749
75% Corpus,5,1,0.7,0.3141355641745764
75% Corpus,5,1,0.8,0.433881391406899
75% Corpus,5,1,0.9,0.3160360763347875
75% Corpus,5,1,1.0,0.2634172481895499
75% Corpus,5,4,0.0,0.5941368473010543
75% Corpus,5,4,0.1,0.33320094783260995
75% Corpus,5,4,0.2,0.3424716825812921
75% Corpus,5,4,0.3,0.3448819656459034
75% Corpus,5,4,0.4,0.3255472016047804
75% Corpus,5,4,0.5,0.3234843786848681
75% Corpus,5,4,0.6,0.3238571621125749
75% Corpus,5,4,0.7,0.3141355641745764
75% Corpus,5,4,0.8,0.433881391406899
75% Corpus,5,4,0.9,0.3160360763347875
75% Corpus,5,4,1.0,0.2634172481895499
75% Corpus,5,6,0.0,0.6241270430868413
75% Corpus,5,6,0.1,0.33320094783260995
75% Corpus,5,6,0.2,0.3424716825812921
75% Corpus,5,6,0.3,0.3448819656459034
75% Corpus,5,6,0.4,0.3255472016047804
75% Corpus,5,6,0.5,0.3234843786848681
75% Corpus,5,6,0.6,0.3238571621125749
75% Corpus,5,6,0.7,0.3141355641745764
75% Corpus,5,6,0.8,0.433881391406899
75% Corpus,5,6,0.9,0.3160360763347875
75% Corpus,5,6,1.0,0.2634172481895499
75% Corpus,5,8,0.0,0.6019882056599237
75% Corpus,5,8,0.1,0.33320094783260995
75% Corpus,5,8,0.2,0.3424716825812921
75% Corpus,5,8,0.3,0.3448819656459034
75% Corpus,5,8,0.4,0.3255472016047804
75% Corpus,5,8,0.5,0.3234843786848681
